验证节点数：35	实际验证：35		运行时间:0.037755		聚合验证时间:0.026469		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.037905		聚合验证时间:0.029467		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.035209		聚合验证时间:0.027462		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.028312		聚合验证时间:0.019084		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.037673		聚合验证时间:0.026700		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.039791		聚合验证时间:0.027832		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.035978		聚合验证时间:0.027289		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.041459		聚合验证时间:0.030993		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.034842		聚合验证时间:0.025813		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.037969		聚合验证时间:0.027773		存储量：32303
验证节点数：35	实际验证：35		运行时间:0.034534		聚合验证时间:0.026691		存储量：32303
验证节点数：40	实际验证：40		运行时间:0.036575		聚合验证时间:0.027931		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.040457		聚合验证时间:0.032112		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.044850		聚合验证时间:0.031901		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.050965		聚合验证时间:0.037830		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.041972		聚合验证时间:0.033194		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.038426		聚合验证时间:0.029990		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.043967		聚合验证时间:0.033498		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.042147		聚合验证时间:0.031979		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.042145		聚合验证时间:0.033600		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.041841		聚合验证时间:0.032175		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.043988		聚合验证时间:0.031292		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.040697		聚合验证时间:0.031490		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.046626		聚合验证时间:0.034339		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.042376		聚合验证时间:0.033076		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.043195		聚合验证时间:0.034148		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.040166		聚合验证时间:0.033524		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.044428		聚合验证时间:0.034119		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.041825		聚合验证时间:0.032387		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.041887		聚合验证时间:0.032453		存储量：36903
验证节点数：40	实际验证：40		运行时间:0.045591		聚合验证时间:0.033748		存储量：36903
